name,mrp,price,category,image,link
realme NARZO 80 Pro 5G,₹23999,₹17998,Gadget,https://i.postimg.cc/Kzf9cCQq/Screenshot-2026-02-23-143408.png,https://amzn.to/4rxLlNe
realme NARZO 80 Lite 4G,₹8999,₹8499,Gadget,https://i.ibb.co/BVdrK3T4/Screenshot-2026-02-23-143533.png,https://amzn.to/46ZlJjN
realme narzo 90 5G,₹18999,₹16999,Gadget,https://i.postimg.cc/XJL2Ntx1/Screenshot-2026-02-23-143517.png,https://amzn.to/4tRmyoS
realme NARZO 90x 5G,₹17999,₹16999,Gadget,https://i.postimg.cc/HxzSWF3S/Screenshot-2026-02-23-143429.png,https://amzn.to/46orlnH
realme NARZO 80 Lite 5G,₹13999,₹10498,Gadget,https://i.ibb.co/tT4QBKfR/Screenshot-2026-02-23-143552.png,https://amzn.to/4b5uwmQ
amazon basics Earphones,599,149,Gadget,https://i.ibb.co/0pjdYw0f/Screenshot-2026-02-24-092504.png,https://amzn.to/3Ot6hq1
Sangria Geometric Printed Tasselled Structured Sling Bag,1199,186,Fashion,https://i.ibb.co/5gy2L032/Screenshot-2026-02-24-092648.png,https://myntr.in/nlHPaL
SHEFTAL Associates Women Puff Sleeve Crepe Fit & Flare Midi Dress,999,400,Fashion,https://i.ibb.co/0yjL98hs/Screenshot-2026-02-24-092638.png,https://myntr.in/eOm4lT
RIO Women Graphic Print Regular Fit Round-Neck T-Shirt,399,164,Fashion,https://i.ibb.co/CpHSNMFD/Screenshot-2026-02-24-092743.png,https://ajiio.co/rholYS
STUDIO NYX Brand Print Thong-Strap Sandals,842,199,Fashion,https://i.ibb.co/p6Yyhgsx/Screenshot-2026-02-24-093039.png,https://ajiio.co/gK116f
MarQ 10000 mAh 22.5 W Power Bank,2499,515,Gadget,https://i.ibb.co/TDCYMtnv/Screenshot-2026-02-24-092609.png,https://fkrt.co/oIiumU
AVOLT Men Solid Grey Track Pants,1299,242,Fashion,https://i.ibb.co/nsFrbJxP/Screenshot-2026-02-24-092621.png, https://fkrt.co/V8aKVj
AVAA​SA MIX N MATCH Women,599,246,Fashion,https://i.ibb.co/p6Yyhgsx/Screenshot-2026-02-24-093039.png,https://myntr.in/jkGUKB
Boat Energyshroom PB435 20000 mAh 3,5499,1744,Gadget,https://i.ibb.co/FLrcHfjY/Screenshot-2026-02-25-085954.png,https://amzn.to/4b1mSc9
The Derma Co Sunscreen SPF 50 PA++++ 1% ,649,510,Beauty,https://i.ibb.co/fzwYQwj0/Screenshot-2026-02-25-090017.png,https://fkrt.co/LOi29d
Mamaearth Vitamin C Daily,225,199,Beauty,https://i.ibb.co/Fqdzv4Nj/Screenshot-2026-02-25-090037.png,https://amzn.to/3MqQs2w
Antheaa Black & Rust Orange Floral Print,2459,1229,Fashion,https://i.ibb.co/zhvVFYFd/Screenshot-2026-02-25-090141.png,https://myntr.in/cnCixT
YOUSTA Women Oversized Denim Jacket,999,500,Fashion,https://i.ibb.co/Fpp1KWN/Screenshot-2026-02-25-090124.png,https://ajiio.co/yxbmrQ
Antheaa Women Floral Printed Fit and Flare Tiered Dress,2399,839,Fashion,https://i.ibb.co/r2nXhMCL/Screenshot-2026-02-25-090155.png,https://myntr.in/F7aHjp
Dream BeauFashion Women Solid Long Sleeves Regular Top,999,239,Fashion,https://i.ibb.co/6Vg7dBF/Screenshot-2026-02-26-102832.png,https://myntr.in/OubPXZ
Sangria Women Teal Blue & Red Printed Straight Kurta,999,349,Fashion,https://i.ibb.co/JFp66DZf/Screenshot-2026-02-26-102852.png,https://myntr.in/Jo9xPN
